,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
30,10,0,93,0,9.3,-,-,v New Zealand,Dunedin,23-Jan-15,ODI # 3588,Suranga Lakmal,49619
31,7,1,31,0,4.42,-,-,v New Zealand,Dunedin,25-Jan-15,ODI # 3590,Suranga Lakmal,49619
32,10,0,62,2,6.2,31,30,v New Zealand,Christchurch,14-Feb-15,ODI # 3599,Suranga Lakmal,49619
33,10,1,36,2,3.6,18,30,v Afghanistan,Dunedin,22-Feb-15,ODI # 3609,Suranga Lakmal,49619
34,8,0,49,2,6.12,24.5,24,v Bangladesh,Melbourne,26-Feb-15,ODI # 3615,Suranga Lakmal,49619
35,7.4,0,71,1,9.26,71,46,v England,Wellington,01-Mar-15,ODI # 3619,Suranga Lakmal,49619
36,5,1,21,1,4.2,21,30,v Pakistan,Dambulla,11-Jul-15,ODI # 3664,Suranga Lakmal,49619
37,8,0,50,1,6.25,50,48,v Pakistan,Colombo (RPS),22-Jul-15,ODI # 3671,Suranga Lakmal,49619
38,6,0,35,0,5.83,-,-,v Pakistan,Hambantota,26-Jul-15,ODI # 3672,Suranga Lakmal,49619
39,5,0,15,3,3,5,10,v West Indies,Colombo (RPS),01-Nov-15,ODI # 3701,Suranga Lakmal,49619
40,7,0,51,1,7.28,51,42,v West Indies,Colombo (RPS),04-Nov-15,ODI # 3702,Suranga Lakmal,49619
41,7,0,40,2,5.71,20,21,v West Indies,Pallekele,07-Nov-15,ODI # 3704,Suranga Lakmal,49619
42,3,0,24,0,8,-,-,v New Zealand,Christchurch,26-Dec-15,ODI # 3714,Suranga Lakmal,49619
43,10,1,38,4,3.8,9.5,15,v Ireland,Dublin (Malahide),18-Jun-16,ODI # 3749,Suranga Lakmal,49619
44,10,0,65,2,6.5,32.5,30,v England,Nottingham,21-Jun-16,ODI # 3751,Suranga Lakmal,49619
