,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
8223,8,2,29,2,3.62,14.5,24,v Zimbabwe,Dhaka,21-Jan-09,ODI # 2799,Rubel Hossain,300619
8224,3,0,17,1,5.66,17,18,v Zimbabwe,Dhaka,23-Jan-09,ODI # 2801,Rubel Hossain,300619
8225,4,0,28,1,7,28,24,v West Indies,Roseau,26-Jul-09,ODI # 2862,Rubel Hossain,300619
8226,5,0,38,0,7.6,-,-,v West Indies,Roseau,28-Jul-09,ODI # 2863,Rubel Hossain,300619
8227,8,0,59,1,7.37,59,48,v Zimbabwe,Dhaka,27-Oct-09,ODI # 2914,Rubel Hossain,300619
8228,7,0,47,1,6.71,47,42,v Sri Lanka,Dhaka,04-Jan-10,ODI # 2937,Rubel Hossain,300619
8229,9,0,60,1,6.66,60,54,v India,Dhaka,07-Jan-10,ODI # 2939,Rubel Hossain,300619
8230,8,0,59,0,7.37,-,-,v Sri Lanka,Dhaka,08-Jan-10,ODI # 2940,Rubel Hossain,300619
8231,9.3,0,68,2,7.15,34,28.5,v New Zealand,Dunedin,08-Feb-10,ODI # 2951,Rubel Hossain,300619
8232,10,0,55,1,5.5,55,60,v New Zealand,Christchurch,11-Feb-10,ODI # 2953,Rubel Hossain,300619
8233,6,0,30,0,5,-,-,v England,Dhaka,02-Mar-10,ODI # 2965,Rubel Hossain,300619
8234,6,0,62,0,10.33,-,-,v England,Chattogram,05-Mar-10,ODI # 2968,Rubel Hossain,300619
8235,9,0,52,2,5.77,26,27,v England,Bristol,10-Jul-10,ODI # 3025,Rubel Hossain,300619
8236,9,0,61,2,6.77,30.5,27,v England,Birmingham,12-Jul-10,ODI # 3026,Rubel Hossain,300619
8237,7,0,42,0,6,-,-,v Ireland,Belfast,15-Jul-10,ODI # 3027,Rubel Hossain,300619
8238,8,0,39,1,4.87,39,48,v New Zealand,Dhaka,11-Oct-10,ODI # 3054,Rubel Hossain,300619
8239,10,0,42,1,4.2,42,60,v New Zealand,Dhaka,14-Oct-10,ODI # 3056,Rubel Hossain,300619
8240,9.3,1,25,4,2.63,6.25,14.2,v New Zealand,Dhaka,17-Oct-10,ODI # 3058,Rubel Hossain,300619
8241,10,0,60,0,6,-,-,v India,Dhaka,19-Feb-11,ODI # 3100,Rubel Hossain,300619
8242,3,0,12,0,4,-,-,v Ireland,Dhaka,25-Feb-11,ODI # 3108,Rubel Hossain,300619
8243,1,0,12,0,12,-,-,v West Indies,Dhaka,04-Mar-11,ODI # 3118,Rubel Hossain,300619
8244,8.4,0,40,1,4.61,40,52,v England,Chattogram,11-Mar-11,ODI # 3127,Rubel Hossain,300619
8245,9,0,36,1,4,36,54,v Netherlands,Chattogram,14-Mar-11,ODI # 3131,Rubel Hossain,300619
8246,8,0,56,3,7,18.66,16,v South Africa,Dhaka,19-Mar-11,ODI # 3138,Rubel Hossain,300619
8247,6,0,57,0,9.5,-,-,v Australia,Dhaka,11-Apr-11,ODI # 3150,Rubel Hossain,300619
8248,10,1,26,4,2.6,6.5,15,v Zimbabwe,Harare,12-Aug-11,ODI # 3176,Rubel Hossain,300619
8249,10,0,50,0,5,-,-,v Zimbabwe,Harare,14-Aug-11,ODI # 3177,Rubel Hossain,300619
8250,10,0,41,2,4.1,20.5,30,v Zimbabwe,Harare,16-Aug-11,ODI # 3179,Rubel Hossain,300619
8251,9,1,31,4,3.44,7.75,13.5,v Zimbabwe,Bulawayo,19-Aug-11,ODI # 3181,Rubel Hossain,300619
8252,6,0,34,1,5.66,34,36,v Zimbabwe,Bulawayo,21-Aug-11,ODI # 3183,Rubel Hossain,300619
8253,10,1,65,3,6.5,21.66,20,v West Indies,Dhaka,13-Oct-11,ODI # 3198,Rubel Hossain,300619
8254,10,0,54,0,5.4,-,-,v West Indies,Dhaka,15-Oct-11,ODI # 3200,Rubel Hossain,300619
8255,8,1,23,2,2.87,11.5,24,v Pakistan,Dhaka,01-Dec-11,ODI # 3218,Rubel Hossain,300619
8256,10,0,58,2,5.8,29,30,v Pakistan,Dhaka,03-Dec-11,ODI # 3220,Rubel Hossain,300619
8257,5,0,42,0,8.4,-,-,v West Indies,Dhaka,05-Dec-12,ODI # 3311,Rubel Hossain,300619
8258,5,0,44,1,8.8,44,30,v Sri Lanka,Hambantota,23-Mar-13,ODI # 3349,Rubel Hossain,300619
8259,3,0,20,0,6.66,-,-,v Sri Lanka,Hambantota,25-Mar-13,ODI # 3351,Rubel Hossain,300619
8260,5.5,0,26,6,4.45,4.33,5.8,v New Zealand,Dhaka,29-Oct-13,ODI # 3423,Rubel Hossain,300619
8261,9,1,47,0,5.22,-,-,v New Zealand,Dhaka,31-Oct-13,ODI # 3426,Rubel Hossain,300619
8262,6,0,38,1,6.33,38,36,v New Zealand,Fatullah,03-Nov-13,ODI # 3429,Rubel Hossain,300619
8263,8,0,37,2,4.62,18.5,24,v Sri Lanka,Dhaka,17-Feb-14,ODI # 3469,Rubel Hossain,300619
8264,10,0,76,3,7.6,25.33,20,v Sri Lanka,Dhaka,20-Feb-14,ODI # 3470,Rubel Hossain,300619
8265,10,0,69,2,6.9,34.5,30,v Sri Lanka,Dhaka,22-Feb-14,ODI # 3471,Rubel Hossain,300619
8266,10,1,63,1,6.3,63,60,v India,Fatullah,26-Feb-14,ODI # 3474,Rubel Hossain,300619
8267,10,0,61,1,6.1,61,60,v Afghanistan,Fatullah,01-Mar-14,ODI # 3478,Rubel Hossain,300619
8268,6,0,25,0,4.16,-,-,v Sri Lanka,Dhaka,06-Mar-14,ODI # 3485,Rubel Hossain,300619
8269,3,0,14,0,4.66,-,-,v Zimbabwe,Chattogram,21-Nov-14,ODI # 3550,Rubel Hossain,300619
8270,6,1,28,0,4.66,-,-,v Zimbabwe,Chattogram,23-Nov-14,ODI # 3552,Rubel Hossain,300619
8271,5.5,0,22,2,3.77,11,17.5,v Zimbabwe,Dhaka,26-Nov-14,ODI # 3553,Rubel Hossain,300619
8272,10,1,48,2,4.8,24,30,v Zimbabwe,Dhaka,28-Nov-14,ODI # 3555,Rubel Hossain,300619
8273,6,0,27,1,4.5,27,36,v Afghanistan,Canberra,18-Feb-15,ODI # 3605,Rubel Hossain,300619
8274,9,0,62,1,6.88,62,54,v Sri Lanka,Melbourne,26-Feb-15,ODI # 3615,Rubel Hossain,300619
8275,8,0,60,0,7.5,-,-,v Scotland,Nelson,05-Mar-15,ODI # 3624,Rubel Hossain,300619
8276,9.3,0,53,4,5.57,13.25,14.2,v England,Adelaide,09-Mar-15,ODI # 3630,Rubel Hossain,300619
8277,8,1,40,1,5,40,48,v New Zealand,Hamilton,13-Mar-15,ODI # 3634,Rubel Hossain,300619
8278,10,0,56,1,5.6,56,60,v India,Melbourne,19-Mar-15,ODI # 3641,Rubel Hossain,300619
8279,8,1,45,1,5.62,45,48,v Pakistan,Dhaka,17-Apr-15,ODI # 3647,Rubel Hossain,300619
8280,7,2,27,1,3.85,27,42,v Pakistan,Dhaka,19-Apr-15,ODI # 3648,Rubel Hossain,300619
8281,6,0,43,2,7.16,21.5,18,v Pakistan,Dhaka,22-Apr-15,ODI # 3649,Rubel Hossain,300619
8282,6,0,36,0,6,-,-,v India,Dhaka,18-Jun-15,ODI # 3658,Rubel Hossain,300619
8283,7,0,26,2,3.71,13,21,v India,Dhaka,21-Jun-15,ODI # 3660,Rubel Hossain,300619
8284,9,0,75,0,8.33,-,-,v India,Dhaka,24-Jun-15,ODI # 3661,Rubel Hossain,300619
8285,9,2,34,2,3.77,17,27,v South Africa,Dhaka,12-Jul-15,ODI # 3666,Rubel Hossain,300619
8286,6,0,29,2,4.83,14.5,18,v South Africa,Chattogram,15-Jul-15,ODI # 3668,Rubel Hossain,300619
8287,9,0,62,1,6.88,62,54,v Afghanistan,Dhaka,25-Sep-16,ODI # 3781,Rubel Hossain,300619
8288,3,0,24,0,8,-,-,v Afghanistan,Dhaka,28-Sep-16,ODI # 3783,Rubel Hossain,300619
8290,10,0,53,2,5.3,26.5,30,v New Zealand,Dublin,17-May-17,ODI # 3868,Rubel Hossain,300619
8291,8,1,41,0,5.12,-,-,v Ireland,Dublin (Malahide),19-May-17,ODI # 3869,Rubel Hossain,300619
8292,10,0,56,1,5.6,56,60,v New Zealand,Dublin,24-May-17,ODI # 3871,Rubel Hossain,300619
8293,10,0,64,0,6.4,-,-,v England,The Oval,01-Jun-17,ODI # 3875,Rubel Hossain,300619
8294,4,0,21,1,5.25,21,24,v Australia,The Oval,05-Jun-17,ODI # 3879,Rubel Hossain,300619
8295,10,0,60,1,6,60,60,v New Zealand,Cardiff,09-Jun-17,ODI # 3883,Rubel Hossain,300619
8296,6,0,46,0,7.66,-,-,v India,Birmingham,15-Jun-17,ODI # 3891,Rubel Hossain,300619
8297,6,0,37,0,6.16,-,-,v South Africa,Kimberley,15-Oct-17,ODI # 3923,Rubel Hossain,300619
8298,10,0,62,4,6.2,15.5,15,v South Africa,Paarl,18-Oct-17,ODI # 3925,Rubel Hossain,300619
8299,10,0,75,1,7.5,75,60,v South Africa,East London,22-Oct-17,ODI # 3929,Rubel Hossain,300619
8300,5,0,24,2,4.8,12,15,v Zimbabwe,Dhaka,15-Jan-18,ODI # 3952,Rubel Hossain,300619
8301,5.2,0,20,2,3.75,10,16,v Sri Lanka,Dhaka,19-Jan-18,ODI # 3959,Rubel Hossain,300619
8302,5,1,18,1,3.6,18,30,v Zimbabwe,Dhaka,23-Jan-18,ODI # 3964,Rubel Hossain,300619
8304,10,0,46,4,4.6,11.5,15,v Sri Lanka,Dhaka,27-Jan-18,ODI # 3967,Rubel Hossain,300619
8305,8,0,52,1,6.5,52,48,v West Indies,Providence,22-Jul-18,ODI # 4022,Rubel Hossain,300619
8306,9,0,61,3,6.77,20.33,18,v West Indies,Providence,25-Jul-18,ODI # 4023,Rubel Hossain,300619
8307,7,0,34,1,4.85,34,42,v West Indies,Basseterre,28-Jul-18,ODI # 4024,Rubel Hossain,300619
8308,4,0,18,1,4.5,18,24,v Sri Lanka,Dubai (DSC),15-Sep-18,ODI # 4036,Rubel Hossain,300619
8309,6,1,32,1,5.33,32,36,v Afghanistan,Abu Dhabi,20-Sep-18,ODI # 4041,Rubel Hossain,300619
8310,5,0,21,1,4.2,21,30,v India,Dubai (DSC),21-Sep-18,ODI # 4042,Rubel Hossain,300619
8311,8,0,38,1,4.75,38,48,v Pakistan,Abu Dhabi,26-Sep-18,ODI # 4047,Rubel Hossain,300619
8312,10,2,26,2,2.6,13,30,v India,Dubai (DSC),28-Sep-18,ODI # 4048,Rubel Hossain,300619
8313,10,0,61,1,6.1,61,60,v West Indies,Dhaka,09-Dec-18,ODI # 4071,Rubel Hossain,300619
8314,9,0,57,2,6.33,28.5,27,v West Indies,Dhaka,11-Dec-18,ODI # 4072,Rubel Hossain,300619
8315,9,0,64,1,7.11,64,54,v New Zealand,Dunedin,20-Feb-19,ODI # 4095,Rubel Hossain,300619
8316,7,2,41,1,5.85,41,42,v Ireland,Dublin,15-May-19,ODI # 4136,Rubel Hossain,300619
8318,3,0,13,0,4.33,-,-,v Afghanistan,Canberra,18-Feb-15,ODI # 3605,Soumya Sarkar,436677
8322,4,0,19,0,4.75,-,-,v New Zealand,Hamilton,13-Mar-15,ODI # 3634,Soumya Sarkar,436677
8336,4,0,25,0,6.25,-,-,v New Zealand,Christchurch,26-Dec-16,ODI # 3814,Soumya Sarkar,436677
8344,2,0,13,0,6.5,-,-,v England,The Oval,01-Jun-17,ODI # 3875,Soumya Sarkar,436677
8349,5,0,19,1,3.8,19,30,v Pakistan,Abu Dhabi,26-Sep-18,ODI # 4047,Soumya Sarkar,436677
8351,2,0,16,0,8,-,-,v Zimbabwe,Chattogram,26-Oct-18,ODI # 4061,Soumya Sarkar,436677
8355,1,0,8,0,8,-,-,v New Zealand,Napier,13-Feb-19,ODI # 4093,Soumya Sarkar,436677
8356,1,0,10,0,10,-,-,v New Zealand,Christchurch,16-Feb-19,ODI # 4094,Soumya Sarkar,436677
8359,2,0,15,0,7.5,-,-,v West Indies,Dublin (Malahide),13-May-19,ODI # 4134,Soumya Sarkar,436677
8361,1,0,6,0,6,-,-,v Zimbabwe,Chattogram,21-Nov-14,ODI # 3550,Sabbir Rahman,373538
8362,3,0,14,0,4.66,-,-,v Zimbabwe,Chattogram,23-Nov-14,ODI # 3552,Sabbir Rahman,373538
8363,2,0,16,0,8,-,-,v Zimbabwe,Dhaka,26-Nov-14,ODI # 3553,Sabbir Rahman,373538
8366,1,0,4,0,4,-,-,v Afghanistan,Canberra,18-Feb-15,ODI # 3605,Sabbir Rahman,373538
8367,4,0,26,0,6.5,-,-,v Sri Lanka,Melbourne,26-Feb-15,ODI # 3615,Sabbir Rahman,373538
8368,7,0,47,1,6.71,47,42,v Scotland,Nelson,05-Mar-15,ODI # 3624,Sabbir Rahman,373538
8369,2,0,13,0,6.5,-,-,v England,Adelaide,09-Mar-15,ODI # 3630,Sabbir Rahman,373538
8370,2,0,14,0,7,-,-,v New Zealand,Hamilton,13-Mar-15,ODI # 3634,Sabbir Rahman,373538
8374,2,0,17,0,8.5,-,-,v Pakistan,Dhaka,22-Apr-15,ODI # 3649,Sabbir Rahman,373538
8378,0.1,0,4,0,24,-,-,v South Africa,Dhaka,10-Jul-15,ODI # 3663,Sabbir Rahman,373538
8383,2,0,12,1,6,12,12,v Zimbabwe,Dhaka,11-Nov-15,ODI # 3706,Sabbir Rahman,373538
8385,2,0,8,0,4,-,-,v Afghanistan,Dhaka,28-Sep-16,ODI # 3783,Sabbir Rahman,373538
8392,3,0,20,0,6.66,-,-,v New Zealand,Nelson,31-Dec-16,ODI # 3816,Sabbir Rahman,373538
8400,1,0,13,1,13,13,6,v England,The Oval,01-Jun-17,ODI # 3875,Sabbir Rahman,373538
8403,1.1,0,11,0,9.42,-,-,v India,Birmingham,15-Jun-17,ODI # 3891,Sabbir Rahman,373538
8405,1,0,11,0,11,-,-,v South Africa,Paarl,18-Oct-17,ODI # 3925,Sabbir Rahman,373538
8406,1,0,8,0,8,-,-,v South Africa,East London,22-Oct-17,ODI # 3929,Sabbir Rahman,373538
8415,7,0,41,0,5.85,-,-,v New Zealand,Napier,13-Feb-19,ODI # 4093,Sabbir Rahman,373538
8416,4,0,28,0,7,-,-,v New Zealand,Christchurch,16-Feb-19,ODI # 4094,Sabbir Rahman,373538
8421,2,0,12,0,6,-,-,v West Indies,Dublin (Malahide),17-May-19,ODI # 4137,Sabbir Rahman,373538
8440,5,0,28,2,5.6,14,15,v Sri Lanka,Colombo (RPS),25-Jul-07,ODI # 2607,Mahmudullah,56025
8441,10,0,31,1,3.1,31,60,v Ireland,Dhaka,18-Mar-08,ODI # 2693,Mahmudullah,56025
8442,6,0,32,0,5.33,-,-,v Ireland,Dhaka,20-Mar-08,ODI # 2694,Mahmudullah,56025
8443,10,0,41,1,4.1,41,60,v Ireland,Dhaka,22-Mar-08,ODI # 2695,Mahmudullah,56025
8444,5,0,59,0,11.8,-,-,v Pakistan,Lahore,08-Apr-08,ODI # 2696,Mahmudullah,56025
8445,2,0,18,0,9,-,-,v Pakistan,Faisalabad,11-Apr-08,ODI # 2698,Mahmudullah,56025
8446,7,0,44,1,6.28,44,42,v Pakistan,Lahore,13-Apr-08,ODI # 2700,Mahmudullah,56025
8447,10,1,38,0,3.8,-,-,v Pakistan,Multan,16-Apr-08,ODI # 2702,Mahmudullah,56025
8448,6,0,44,0,7.33,-,-,v Pakistan,Karachi,19-Apr-08,ODI # 2703,Mahmudullah,56025
8449,7,0,39,0,5.57,-,-,v Pakistan,Dhaka,08-Jun-08,ODI # 2704,Mahmudullah,56025
8450,7,0,42,0,6,-,-,v India,Dhaka,12-Jun-08,ODI # 2706,Mahmudullah,56025
8451,10,0,38,2,3.8,19,30,v U.A.E.,Lahore,24-Jun-08,ODI # 2711,Mahmudullah,56025
8452,10,0,62,1,6.2,62,60,v Sri Lanka,Lahore,25-Jun-08,ODI # 2715,Mahmudullah,56025
8453,6,0,35,0,5.83,-,-,v India,Karachi,28-Jun-08,ODI # 2721,Mahmudullah,56025
8454,8,0,43,0,5.37,-,-,v Sri Lanka,Karachi,30-Jun-08,ODI # 2726,Mahmudullah,56025
8455,2,0,15,0,7.5,-,-,v Pakistan,Karachi,04-Jul-08,ODI # 2733,Mahmudullah,56025
8456,4,0,15,0,3.75,-,-,v Australia,Darwin,06-Sep-08,ODI # 2762,Mahmudullah,56025
8457,2,0,8,0,4,-,-,v New Zealand,Dhaka,09-Oct-08,ODI # 2763,Mahmudullah,56025
8459,2,0,13,0,6.5,-,-,v Sri Lanka,Dhaka,14-Jan-09,ODI # 2793,Mahmudullah,56025
8461,6,2,7,1,1.16,7,36,v Zimbabwe,Dhaka,19-Jan-09,ODI # 2797,Mahmudullah,56025
8462,3,0,12,0,4,-,-,v Zimbabwe,Dhaka,21-Jan-09,ODI # 2799,Mahmudullah,56025
8463,7,0,19,2,2.71,9.5,21,v Zimbabwe,Dhaka,23-Jan-09,ODI # 2801,Mahmudullah,56025
8464,7,0,38,1,5.42,38,42,v West Indies,Roseau,26-Jul-09,ODI # 2862,Mahmudullah,56025
8465,9,1,46,0,5.11,-,-,v West Indies,Roseau,28-Jul-09,ODI # 2863,Mahmudullah,56025
8466,7,0,38,2,5.42,19,21,v West Indies,Basseterre,31-Jul-09,ODI # 2865,Mahmudullah,56025
8467,8,1,39,2,4.87,19.5,24,v Zimbabwe,Bulawayo,09-Aug-09,ODI # 2869,Mahmudullah,56025
8468,6,0,41,1,6.83,41,36,v Zimbabwe,Bulawayo,11-Aug-09,ODI # 2871,Mahmudullah,56025
8469,2,0,14,0,7,-,-,v Zimbabwe,Bulawayo,14-Aug-09,ODI # 2872,Mahmudullah,56025
8470,6,0,32,0,5.33,-,-,v Zimbabwe,Bulawayo,16-Aug-09,ODI # 2873,Mahmudullah,56025
8471,10,0,40,1,4,40,60,v Zimbabwe,Bulawayo,18-Aug-09,ODI # 2874,Mahmudullah,56025
8472,1,0,6,0,6,-,-,v Zimbabwe,Dhaka,27-Oct-09,ODI # 2914,Mahmudullah,56025
8473,3.1,0,17,0,5.36,-,-,v Zimbabwe,Dhaka,29-Oct-09,ODI # 2916,Mahmudullah,56025
8474,8,0,35,1,4.37,35,48,v Zimbabwe,Dhaka,31-Oct-09,ODI # 2917,Mahmudullah,56025
8476,9,0,52,3,5.77,17.33,18,v Zimbabwe,Chattogram,05-Nov-09,ODI # 2922,Mahmudullah,56025
8477,6,0,32,1,5.33,32,36,v Sri Lanka,Dhaka,04-Jan-10,ODI # 2937,Mahmudullah,56025
8478,7,0,38,0,5.42,-,-,v India,Dhaka,07-Jan-10,ODI # 2939,Mahmudullah,56025
8479,2,0,16,0,8,-,-,v Sri Lanka,Dhaka,08-Jan-10,ODI # 2940,Mahmudullah,56025
8480,1,0,10,0,10,-,-,v India,Dhaka,11-Jan-10,ODI # 2942,Mahmudullah,56025
8481,3,0,18,0,6,-,-,v New Zealand,Napier,05-Feb-10,ODI # 2949,Mahmudullah,56025
8483,3,0,33,1,11,33,18,v New Zealand,Christchurch,11-Feb-10,ODI # 2953,Mahmudullah,56025
8484,8,0,44,0,5.5,-,-,v England,Dhaka,28-Feb-10,ODI # 2964,Mahmudullah,56025
8485,7,0,30,1,4.28,30,42,v England,Dhaka,02-Mar-10,ODI # 2965,Mahmudullah,56025
8486,2,0,18,0,9,-,-,v England,Chattogram,05-Mar-10,ODI # 2968,Mahmudullah,56025
8488,7,0,28,1,4,28,42,v Sri Lanka,Dambulla,18-Jun-10,ODI # 2995,Mahmudullah,56025
8489,7,0,52,0,7.42,-,-,v Pakistan,Dambulla,21-Jun-10,ODI # 2998,Mahmudullah,56025
8490,8,0,41,0,5.12,-,-,v England,Nottingham,08-Jul-10,ODI # 3018,Mahmudullah,56025
8492,3,0,15,0,5,-,-,v England,Birmingham,12-Jul-10,ODI # 3026,Mahmudullah,56025
8493,3,0,13,0,4.33,-,-,v Ireland,Belfast,15-Jul-10,ODI # 3027,Mahmudullah,56025
8494,3,0,20,0,6.66,-,-,v Ireland,Belfast,16-Jul-10,ODI # 3028,Mahmudullah,56025
8496,6,0,42,0,7,-,-,v New Zealand,Dhaka,05-Oct-10,ODI # 3051,Mahmudullah,56025
8497,1.5,0,6,2,3.27,3,5.5,v New Zealand,Dhaka,11-Oct-10,ODI # 3054,Mahmudullah,56025
8498,2,0,5,1,2.5,5,12,v New Zealand,Dhaka,14-Oct-10,ODI # 3056,Mahmudullah,56025
8499,7,0,18,0,2.57,-,-,v New Zealand,Dhaka,17-Oct-10,ODI # 3058,Mahmudullah,56025
8500,9,1,38,2,4.22,19,27,v Zimbabwe,Dhaka,01-Dec-10,ODI # 3071,Mahmudullah,56025
8501,7,0,49,1,7,49,42,v India,Dhaka,19-Feb-11,ODI # 3100,Mahmudullah,56025
8502,5,0,30,1,6,30,30,v England,Chattogram,11-Mar-11,ODI # 3127,Mahmudullah,56025
8504,10,0,46,1,4.6,46,60,v South Africa,Dhaka,19-Mar-11,ODI # 3138,Mahmudullah,56025
8505,4,0,15,0,3.75,-,-,v Australia,Dhaka,09-Apr-11,ODI # 3149,Mahmudullah,56025
8506,1,0,9,0,9,-,-,v Australia,Dhaka,11-Apr-11,ODI # 3150,Mahmudullah,56025
8507,10,0,59,0,5.9,-,-,v Australia,Dhaka,13-Apr-11,ODI # 3151,Mahmudullah,56025
8508,4,1,19,0,4.75,-,-,v Zimbabwe,Harare,12-Aug-11,ODI # 3176,Mahmudullah,56025
8509,8,0,27,1,3.37,27,48,v Zimbabwe,Harare,14-Aug-11,ODI # 3177,Mahmudullah,56025
8510,9,1,49,1,5.44,49,54,v Zimbabwe,Harare,16-Aug-11,ODI # 3179,Mahmudullah,56025
8511,9,0,36,1,4,36,54,v Zimbabwe,Bulawayo,19-Aug-11,ODI # 3181,Mahmudullah,56025
8512,4,0,13,3,3.25,4.33,8,v Zimbabwe,Bulawayo,21-Aug-11,ODI # 3183,Mahmudullah,56025
8515,1.1,0,4,3,3.42,1.33,2.3,v Pakistan,Chattogram,06-Dec-11,ODI # 3222,Mahmudullah,56025
8516,4,0,19,0,4.75,-,-,v Pakistan,Dhaka,11-Mar-12,ODI # 3258,Mahmudullah,56025
8517,4,0,24,0,6,-,-,v India,Dhaka,16-Mar-12,ODI # 3261,Mahmudullah,56025
8518,4,0,16,0,4,-,-,v Sri Lanka,Dhaka,20-Mar-12,ODI # 3265,Mahmudullah,56025
8519,3,0,14,1,4.66,14,18,v Pakistan,Dhaka,22-Mar-12,ODI # 3267,Mahmudullah,56025
8520,9,0,29,1,3.22,29,54,v West Indies,Khulna,30-Nov-12,ODI # 3309,Mahmudullah,56025
8521,5,0,27,1,5.4,27,30,v West Indies,Khulna,02-Dec-12,ODI # 3310,Mahmudullah,56025
8522,9,0,43,1,4.77,43,54,v West Indies,Dhaka,05-Dec-12,ODI # 3311,Mahmudullah,56025
8523,10,1,46,3,4.6,15.33,20,v West Indies,Dhaka,07-Dec-12,ODI # 3312,Mahmudullah,56025
8524,10,1,38,2,3.8,19,30,v West Indies,Dhaka,08-Dec-12,ODI # 3313,Mahmudullah,56025
8525,1,0,8,0,8,-,-,v Sri Lanka,Hambantota,23-Mar-13,ODI # 3349,Mahmudullah,56025
8527,10,0,50,1,5,50,60,v Sri Lanka,Pallekele,28-Mar-13,ODI # 3352,Mahmudullah,56025
8528,2,0,12,0,6,-,-,v Zimbabwe,Bulawayo,03-May-13,ODI # 3353,Mahmudullah,56025
8529,4,0,18,0,4.5,-,-,v Zimbabwe,Bulawayo,05-May-13,ODI # 3354,Mahmudullah,56025
8530,6,0,29,1,4.83,29,36,v Zimbabwe,Bulawayo,08-May-13,ODI # 3355,Mahmudullah,56025
8531,4,0,27,1,6.75,27,24,v New Zealand,Dhaka,29-Oct-13,ODI # 3423,Mahmudullah,56025
8532,6,0,24,0,4,-,-,v New Zealand,Dhaka,31-Oct-13,ODI # 3426,Mahmudullah,56025
8533,7,0,36,2,5.14,18,21,v New Zealand,Fatullah,03-Nov-13,ODI # 3429,Mahmudullah,56025
8534,4,0,26,0,6.5,-,-,v Sri Lanka,Dhaka,17-Feb-14,ODI # 3469,Mahmudullah,56025
8535,3,0,11,0,3.66,-,-,v Sri Lanka,Dhaka,20-Feb-14,ODI # 3470,Mahmudullah,56025
8536,10,0,38,2,3.8,19,30,v Sri Lanka,Dhaka,22-Feb-14,ODI # 3471,Mahmudullah,56025
8537,7,1,47,1,6.71,47,42,v Pakistan,Dhaka,04-Mar-14,ODI # 3482,Mahmudullah,56025
8538,6,1,30,1,5,30,36,v Sri Lanka,Dhaka,06-Mar-14,ODI # 3485,Mahmudullah,56025
8539,2.5,0,26,0,9.17,-,-,v India,Dhaka,15-Jun-14,ODI # 3497,Mahmudullah,56025
8541,1,0,5,0,5,-,-,v India,Dhaka,19-Jun-14,ODI # 3499,Mahmudullah,56025
8542,4,0,20,1,5,20,24,v West Indies,St George's,20-Aug-14,ODI # 3509,Mahmudullah,56025
8543,10,0,47,1,4.7,47,60,v West Indies,St George's,22-Aug-14,ODI # 3511,Mahmudullah,56025
8544,10,1,48,1,4.8,48,60,v West Indies,Basseterre,25-Aug-14,ODI # 3514,Mahmudullah,56025
8545,10,0,40,2,4,20,30,v Zimbabwe,Chattogram,21-Nov-14,ODI # 3550,Mahmudullah,56025
8546,2,0,12,0,6,-,-,v Zimbabwe,Chattogram,23-Nov-14,ODI # 3552,Mahmudullah,56025
8547,5,0,29,1,5.8,29,30,v Zimbabwe,Dhaka,26-Nov-14,ODI # 3553,Mahmudullah,56025
8548,4,0,31,0,7.75,-,-,v Zimbabwe,Dhaka,28-Nov-14,ODI # 3555,Mahmudullah,56025
8550,8,1,31,1,3.87,31,48,v Afghanistan,Canberra,18-Feb-15,ODI # 3605,Mahmudullah,56025
8551,7,0,49,0,7,-,-,v Sri Lanka,Melbourne,26-Feb-15,ODI # 3615,Mahmudullah,56025
8552,5,0,29,0,5.8,-,-,v Scotland,Nelson,05-Mar-15,ODI # 3624,Mahmudullah,56025
8554,3,0,22,0,7.33,-,-,v New Zealand,Hamilton,13-Mar-15,ODI # 3634,Mahmudullah,56025
8555,1,0,4,0,4,-,-,v India,Melbourne,19-Mar-15,ODI # 3641,Mahmudullah,56025
8556,2,0,7,0,3.5,-,-,v Pakistan,Dhaka,17-Apr-15,ODI # 3647,Mahmudullah,56025
8557,2,0,6,0,3,-,-,v Pakistan,Dhaka,19-Apr-15,ODI # 3648,Mahmudullah,56025
8558,2,0,9,0,4.5,-,-,v Pakistan,Dhaka,22-Apr-15,ODI # 3649,Mahmudullah,56025
8559,2,0,17,0,8.5,-,-,v South Africa,Dhaka,10-Jul-15,ODI # 3663,Mahmudullah,56025
8560,4,0,13,1,3.25,13,24,v South Africa,Dhaka,12-Jul-15,ODI # 3666,Mahmudullah,56025
8561,5,0,20,1,4,20,30,v South Africa,Chattogram,15-Jul-15,ODI # 3668,Mahmudullah,56025
8565,3,0,22,0,7.33,-,-,v Afghanistan,Dhaka,25-Sep-16,ODI # 3781,Mahmudullah,56025
8568,3,0,24,0,8,-,-,v England,Dhaka,07-Oct-16,ODI # 3791,Mahmudullah,56025
8573,1,0,6,0,6,-,-,v New Zealand,Nelson,31-Dec-16,ODI # 3816,Mahmudullah,56025
8576,1,0,5,0,5,-,-,v Sri Lanka,Colombo (SSC),01-Apr-17,ODI # 3858,Mahmudullah,56025
8578,1,0,8,0,8,-,-,v New Zealand,Dublin,17-May-17,ODI # 3868,Mahmudullah,56025
8579,3,0,13,0,4.33,-,-,v Ireland,Dublin (Malahide),19-May-17,ODI # 3869,Mahmudullah,56025
8584,1,0,10,0,10,-,-,v India,Birmingham,15-Jun-17,ODI # 3891,Mahmudullah,56025
